,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.timings,restaurant.all_reviews_count,restaurant.user_rating.votes,restaurant.location.latitude,restaurant.location.longitude,coordinate,Arts_Entertainment,College_University,Event,Nightlife_Spot,Outdoors_Recreation,Professional_n_Other_Places,Shop_Service,Travel_Transport,Residence
67,Shrimp Basket,"American, Seafood",25,3.3,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",17,40.0,33.1767305,-87.5243871,"(33.1767305, -87.5243871)",1,0,0,1,1,3,1,3,0
68,Lee Palace,"Asian, Chinese",10,3.4,"Lunch, Dinner (Sun, Tue, Wed, Thu, Fri, Sat),  (Mon)",11,42.0,33.1155,-87.5512,"(33.1155, -87.5512)",0,0,0,0,0,1,1,0,0
69,Henry's Burgers N Cream,"American, Burger, Desserts",10,3.3,"(Sun),Breakfast, Lunch, Dinner (Mon-Sat)",16,41.0,33.2542,-87.3267,"(33.2542, -87.3267)",0,0,0,0,0,0,0,0,0
70,The Levee Bar & Grill,"Seafood, Steak, Bar Food",40,3.3,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri-Sat),10:30 AM to 3 PM (Sun)",20,37.0,33.215789,-87.572987,"(33.215789, -87.572987)",10,0,1,15,1,3,2,6,0
71,New China Fun,Chinese,10,3.3,"11 AM to 9:30 PM (Mon-Thu),11 AM to 10:30 PM (Fri-Sat),12 Noon to 9:30 PM (Sun)",21,40.0,33.1978675,-87.4803551,"(33.1978675, -87.4803551)",0,0,0,0,1,0,1,0,0
72,Olive Garden Italian Restaurant,Italian,25,3.2,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",11,49.0,33.19106,-87.52617,"(33.19106, -87.52617)",1,1,0,1,3,1,14,0,1
73,Buffalo Wild Wings,Bar Food,25,3.3,"11 AM to 11 PM (Mon-Sat), 11 AM to 10 PM (Sun)",6,51.0,33.1839295678,-87.5267900527,"(33.1839295678, -87.5267900527)",1,1,0,1,1,1,2,1,1
74,Krispy Kreme,"Coffee and Tea, Desserts",10,3.3,5 AM to 12 Midnight,2,34.0,33.2305,-87.53595,"(33.2305, -87.53595)",1,0,0,0,1,3,0,1,0
75,Chang's Chinese Restaurant,"Chinese, Vegetarian",10,3.4,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",12,44.0,33.2357,-87.5495,"(33.2357, -87.5495)",1,0,0,0,5,1,0,1,1
76,China Bob,Chinese,10,3.3,9 AM to 11 PM,19,33.0,33.2362,-87.6101,"(33.2362, -87.6101)",0,0,0,0,1,0,1,0,1
77,Pita Pit,Sandwich,10,3.4,"10 AM to 3 AM (Mon-Wed), 10 AM to 4 AM (Thu-Sat), 10 AM to 1 AM (Sun)",10,44.0,33.2107,-87.5537,"(33.2107, -87.5537)",6,22,1,9,4,4,4,0,1
78,Pastor's Kitchen Mexican Food,Mexican,10,3.4,"(Sun),Lunch, Dinner (Mon-Sat)",19,37.0,33.2156964,-87.5862263,"(33.2156964, -87.5862263)",2,0,1,1,0,0,0,1,0
79,Chipotle Mexican Grill,"Fast Food, Mexican",10,3.4,"10:45 AM to 10 PM (Mon-Sat), Sun Closed",5,50.0,33.196755,-87.5270420466,"(33.196755, -87.5270420466)",0,1,0,1,3,3,16,1,4
80,Edgar's Bakery and Cafe,"American, Breakfast",10,3.3,"(Sun),Breakfast, Lunch (Mon-Sat)",10,37.0,33.234587,-87.542287,"(33.234587, -87.542287)",1,0,0,0,2,3,0,1,0
81,Southland Restaurant,American,10,3.4,"10:45 AM to 9 PM (Mon-Fri),Closed (Sat-Sun)",9,26.0,33.1888168,-87.4593878,"(33.1888168, -87.4593878)",0,0,0,0,0,0,0,1,0
82,Moes Southwest Grill,Mexican,10,3.4,11 AM to 9 PM (Mon-Sun),5,47.0,33.188751,-87.52637,"(33.188751, -87.52637)",1,1,0,1,2,1,13,0,1
83,Cracker Barrel Old Country Store,American,10,3.4,"6 AM to 10 PM (Mon-Thu, Sun), 6 AM to 11 PM (Fri-Sat)",8,45.0,33.17533,-87.47578,"(33.17533, -87.47578)",0,0,0,0,0,0,0,2,0
84,Zoes Kitchen,Mediterranean,10,3.4,10 AM to 9:30 PM,9,44.0,33.2345819829,-87.5404580637,"(33.2345819829, -87.5404580637)",1,0,0,0,2,3,0,1,0
85,Subs-N-You,Sandwich,15,3.4,,13,38.0,33.2096,-87.5687,"(33.2096, -87.5687)",11,0,2,17,3,6,2,6,1
86,California Underground,"Pizza, Sandwich",20,3.4,"11 AM to 9 PM (Mon-Sat), Sun Closed",13,32.0,33.3503,-87.611,"(33.3503, -87.611)",0,0,0,0,0,0,0,0,0
